time,open,high,low,close
2012-05-10,4.97,4.97,4.87,4.95
2012-05-11,4.95,4.97,4.91,4.91
2012-05-12,4.95,4.95,4.94,4.94
2012-05-13,4.93,4.99,4.88,4.93
2012-05-14,4.95,5.01,4.9,4.95
2012-05-15,5,5.04,4.98,5.04
2012-05-16,5.02,5.03,5.01,5.02
2012-05-17,5.03,5.07,5.03,5.07
2012-05-18,5.08,5.08,5.05,5.07
2012-05-19,5.03,5.08,5.03,5.03
2012-05-20,5.04,5.09,5.01,5.08
2012-05-21,5.05,5.07,5,5.03
2012-05-22,5.02,5.1,5.02,5.1
2012-05-23,5.08,5.12,5.04,5.12
2012-05-24,5.09,5.1,5.08,5.08
2012-05-25,5.08,5.09,5.06,5.07
2012-05-26,5.08,5.08,5,5.07
2012-05-27,5.08,5.08,5.07,5.07
2012-05-28,5.07,5.12,4.95,5.11
2012-05-29,5.07,5.14,5.07,5.14
2012-05-30,5.14,5.17,5.1,5.17
2012-05-31,5.17,5.24,5.16,5.22
2012-06-01,5.2,5.21,5.17,5.19
2012-06-02,5.19,5.2,5.19,5.19
2012-06-03,5.18,5.24,5.14,5.22
2012-06-04,5.22,5.49,5.22,5.37
2012-06-05,5.39,5.49,5.37,5.41
2012-06-06,5.41,5.53,5.4,5.53
2012-06-07,5.48,5.63,5.46,5.61
2012-06-08,5.6,5.62,5.47,5.48
2012-06-09,5.54,5.54,5.42,5.42
2012-06-10,5.48,5.57,5.4,5.52
2012-06-11,5.57,5.9,5.53,5.71
2012-06-12,5.77,6,5.71,5.86
2012-06-13,5.86,5.91,5.79,5.9
2012-06-14,5.88,6.42,5.56,6.42
2012-06-15,6.41,6.52,6.12,6.41
2012-06-16,6.41,6.47,6.13,6.19
2012-06-17,6.13,6.34,5.98,6.06
2012-06-18,6.13,6.49,6.13,6.46
2012-06-19,6.4,6.65,6.26,6.64
2012-06-20,6.66,6.69,6.64,6.64
2012-06-21,6.64,6.67,6.48,6.59
2012-06-22,6.6,6.61,6.33,6.45
2012-06-23,6.35,6.45,6.35,6.4
2012-06-24,6.35,6.35,6.11,6.26
2012-06-25,6.26,6.46,6.17,6.41
2012-06-26,6.41,6.68,6.34,6.49
2012-06-27,6.49,6.54,5.99,6.5
2012-06-28,6.5,6.63,6.49,6.52
2012-06-29,6.58,6.61,6.5,6.61
2012-06-30,6.6,6.62,6.52,6.52
2012-07-01,6.55,6.64,6.52,6.61
2012-07-02,6.61,6.66,6.4,6.44
2012-07-03,6.44,6.55,6.36,6.44
2012-07-04,6.52,6.66,6.52,6.6
2012-07-05,6.59,6.6,6.39,6.59
2012-07-06,6.6,6.79,6.56,6.79
2012-07-07,6.8,6.8,6.45,6.73
2012-07-08,6.77,6.99,6.55,6.94
2012-07-09,6.95,7.13,6.95,7.08
2012-07-10,7.08,7.15,7.04,7.14
2012-07-11,7.15,7.59,7.1,7.59
2012-07-12,7.6,7.69,7.46,7.59
2012-07-13,7.58,7.58,7.44,7.55
2012-07-14,7.55,7.57,7.4,7.57
2012-07-15,7.57,8.3,7.14,8.3
2012-07-16,8.3,8.8,7.7,8.55
2012-07-17,8.5,9.15,8.36,9
